wallet,n_trades,n_races,total_notional,net_exposure_ratio,win_rate,mean_edge,edge_stderr,credibility_score
0x000000000048fb5f1abe936238006f7bbe1bdc54,2,1,1.3599999999999999,0.0294117647058823,0.5,0.01044999999999996,0.64095,-0.6305000000000001
0x00000000006c26fe7f39d09232eb57e71dc8ca21,6,3,23.83,0.7608057070919009,0.5,0.009200000000000022,0.21060684540948177,-0.20140684540948176
0x0000000000fe8580085d080bdb1807a1006a69e1,24,6,134.0,0.029104477611940342,0.5,0.006000000000000005,0.08791421749456205,-0.08191421749456204
0x000000001034abc341656fb6ec53008b6ab12e9f,4,2,84.36000000000001,0.005689900426742536,0.5,0.0027749999999999997,0.3127477454621642,-0.30997274546216425
0x0000000012002e4f0a7dcbf800beab9acd6d768f,2,1,6.720000000000001,0.05357142857142855,0.5,0.005399999999999995,0.10250000000000001,-0.09710000000000002
0x000000001d4b0cf0eefd45007af4370800a6b6a7,12,3,223.32999999999996,0.025388438633412388,0.5,0.006050000000000009,0.11071858641975105,-0.10466858641975103
0x000000001e00480500ba5440c8047878ff19f5d7,2,1,116.63,0.019463259881677127,0.5,0.002349999999999991,0.12084999999999997,-0.11849999999999998
0x000000002c66b642f1fdc3c8172f6111ec050090,4,2,12.53,0.016759776536312884,0.5,0.0027749999999999997,0.2715052159566491,-0.26873021595664914
0x00000000408f04c6425c1c3e328000c7a0cf5845,2,1,13.99,0.022158684774839205,0.5,0.0033000000000000113,0.15069999999999997,-0.14739999999999998
0x0000000042cf78fa4c799e8b0023583814960050,6,2,12.95,0.010038610038610014,0.5,0.0009166666666666594,0.031737637138122166,-0.030820970471455506
0x000000004575e3d0490e00f7009fcd6e43db5618,10,4,3664.28,0.042464003842501145,0.5,0.00685,0.13913517987115184,-0.13228517987115185
0x0000000054774771e84f429a006c5f00760e4d74,8,2,25.82,0.01549186676994574,0.5,0.0020375000000000046,0.1358413398805228,-0.1338038398805228
0x000000005fc4b04a0000637a388c182b25601c41,4,2,1.73,0.12138728323699423,0.5,0.006450000000000004,0.03058282470058426,-0.024132824700584254
0x0000000065986a99dd171fbb77ab72feb900b2ac,222,20,11132.720000000003,0.44344059672748415,0.5,0.011675225225225228,0.02192866906867842,-0.01025344384345319
