bucket,n,mean_price,win_rate,wilson_lo,wilson_hi,edge,ev_per_$,median_trade_$
"[0.00,0.05)",1153,0.018626626192541195,0.0,0.0,0.00332076578159015,-0.018626626192541195,-1.0,3.8
"[0.05,0.10)",796,0.0769604271356784,0.0037688442211055275,0.0012825340342386118,0.011021902244144507,-0.07319158291457287,-0.9510288032255695,8.2
"[0.10,0.20)",2660,0.15231838345864665,0.02669172932330827,0.021215457410612617,0.03353314325693458,-0.12562665413533838,-0.824763572740024,20.0
"[0.20,0.30)",3940,0.2519502284263959,0.3385786802030457,0.3239655987005844,0.3535062348537857,0.0866284517766498,0.3438316064156981,3.0
"[0.30,0.40)",2355,0.35661286624203825,0.5643312101910828,0.5442159427645166,0.5842369385141585,0.20771834394904454,0.5824757422186309,25.0
"[0.40,0.50)",2155,0.44697308584686773,0.5225058004640372,0.5013951921622218,0.5435363118443715,0.07553271461716943,0.16898716501925315,25.97
"[0.50,0.60)",2188,0.5535157221206581,0.5287934186471663,0.5078451105667955,0.5496407953490334,-0.024722303473491802,-0.04466413958175286,32.015
"[0.60,0.70)",2561,0.6498081608746583,0.4877001171417415,0.4683737260933827,0.5070633535297799,-0.16210804373291682,-0.24947061839715168,40.004999999999995
"[0.70,0.80)",3126,0.7590424504158669,0.6228406909788867,0.605708928535194,0.6396709015494978,-0.1362017594369802,-0.17943892250342186,14.59
"[0.80,0.90)",3429,0.8498596967045786,0.9752114319043453,0.9694513107195015,0.979907960620021,0.12535173519976672,0.1474969758959408,26.65
"[0.90,0.95)",1000,0.9234391000000001,0.993,0.985621503073051,0.996605174920768,0.06956089999999993,0.07532808606436525,13.88
"[0.95,1.00)",1387,0.9804105263157895,0.9978370583994232,0.9936598452006729,0.99926415132057,0.01742653208363365,0.017774729683002866,6.46
